timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker
1540168017.245,270.508,30.273,27.344,26.855,83.984,0
1540168017.248,270.508,27.344,30.762,32.227,22.461,0
1540168017.252,279.297,27.344,33.203,31.250,19.531,0
1540168017.256,285.156,29.785,34.180,30.762,14.648,0
1540168017.260,285.645,30.762,33.203,27.832,-9.766,0
1540168017.264,286.621,28.809,30.762,24.414,7.812,0
1540168017.268,292.969,26.367,34.180,24.902,44.922,0
1540168017.272,296.387,25.391,35.156,20.020,23.438,0
1540168017.276,295.898,24.902,33.691,22.949,-32.227,0
1540168017.280,291.016,22.949,39.062,27.344,-5.371,0
1540168017.284,283.691,20.508,38.086,24.414,44.434,0
1540168017.288,282.715,16.602,35.645,20.996,0.000,0
1540168017.291,278.809,17.578,34.668,20.508,-19.043,0
1540168017.295,281.738,20.508,29.297,22.949,31.738,0
1540168017.299,284.668,21.973,28.809,20.508,5.371,0
1540168017.303,281.738,21.484,30.273,21.973,42.969,0
1540168017.307,277.832,20.020,29.297,26.367,24.902,0
1540168017.311,275.879,20.996,28.809,27.344,5.859,0
1540168017.315,267.578,17.578,26.855,23.926,29.785,0
1540168017.319,259.766,16.113,28.809,20.508,60.547,0
1540168017.323,265.137,19.043,30.273,25.879,58.105,0
1540168017.327,269.043,20.020,26.367,28.320,-19.043,0
1540168017.330,273.438,19.531,27.832,23.926,-2.441,0
1540168017.334,279.297,17.578,29.785,18.555,47.363,0
1540168017.338,276.367,19.043,30.762,24.902,87.891,0
1540168017.342,278.320,21.973,31.250,31.738,39.062,0
1540168017.346,294.922,22.461,33.691,29.297,32.715,0
1540168017.350,296.387,19.043,32.227,29.785,30.273,0
1540168017.354,290.039,18.066,25.391,25.391,-6.348,0
1540168017.358,293.457,22.461,25.391,21.484,8.789,0
1540168017.362,295.898,23.438,26.367,23.926,-0.977,0
1540168017.366,291.016,24.414,23.926,21.484,-3.418,0
1540168017.370,289.551,21.973,25.391,17.090,22.949,0
1540168017.373,287.598,19.043,25.879,20.020,14.648,0
1540168017.377,281.738,24.414,25.391,22.949,53.223,0
1540168017.381,276.367,27.832,28.809,20.020,74.219,0
1540168017.385,280.762,22.949,29.297,20.508,27.832,0
1540168017.389,281.250,21.484,31.250,24.902,76.660,0
1540168017.393,271.973,23.926,31.250,25.879,89.844,0
1540168017.397,262.695,24.414,26.855,19.043,84.473,0
1540168017.401,254.395,25.391,26.855,19.043,111.816,0
1540168017.405,249.512,24.902,28.320,20.996,59.082,0
1540168017.409,234.375,20.996,27.344,22.461,17.090,0
1540168017.413,224.121,23.926,24.414,23.926,15.625,0
1540168017.416,228.027,24.902,22.461,20.020,27.344,0
1540168017.420,234.863,23.926,22.949,21.484,6.836,1
1540168017.424,236.816,24.902,26.367,30.762,15.625,0
1540168017.428,247.070,25.879,27.344,37.109,25.879,0
1540168017.432,244.629,26.367,24.902,32.715,-19.043,0
1540168017.436,235.352,23.438,22.461,22.949,-1.953,0
1540168017.440,234.863,24.902,22.949,22.949,15.625,0
1540168017.444,233.398,23.926,23.926,32.715,-14.160,0
1540168017.448,236.328,26.855,27.832,32.715,-37.109,0
1540168017.452,237.793,31.250,30.273,18.555,5.859,0
1540168017.455,239.258,30.273,23.438,18.066,30.762,0
1540168017.459,251.953,28.809,19.531,21.973,-2.441,0
1540168017.463,262.207,27.344,23.926,18.066,17.090,0
1540168017.467,272.461,27.344,26.855,18.066,26.367,0
1540168017.471,278.809,26.367,23.438,18.066,-1.953,0
1540168017.475,273.926,24.902,21.973,21.973,56.152,0
1540168017.479,273.438,26.855,22.949,23.926,56.641,0
1540168017.483,270.508,33.691,25.391,21.973,25.879,0
1540168017.487,268.555,34.180,27.344,22.461,-17.090,0
1540168017.491,270.020,31.250,23.926,19.043,-0.977,0
1540168017.495,272.949,31.738,20.996,17.578,59.570,0
1540168017.498,268.066,30.762,20.508,14.648,16.602,0
1540168017.502,267.090,31.250,21.973,12.207,36.621,0
1540168017.506,273.438,34.180,24.414,15.625,53.711,0
1540168017.510,274.902,34.668,22.461,18.066,9.277,0
1540168017.514,274.414,32.227,20.996,20.508,14.160,0
1540168017.518,263.672,30.273,21.973,19.531,45.410,0
1540168017.522,250.000,28.320,20.020,16.113,62.500,0
1540168017.526,242.676,30.762,20.508,16.602,34.180,0
1540168017.530,245.117,32.227,22.949,20.508,9.766,0
1540168017.534,246.094,30.762,23.438,18.066,11.230,0
1540168017.538,235.840,32.715,19.043,10.254,27.344,0
1540168017.541,233.398,31.738,18.066,15.137,4.883,0
1540168017.545,239.258,28.809,20.020,20.508,-3.418,0
1540168017.549,241.211,28.809,21.973,22.949,-7.324,0
1540168017.553,239.258,26.855,24.414,22.949,5.371,0
1540168017.557,232.422,27.344,25.879,25.391,31.250,0
1540168017.561,233.398,25.391,29.297,32.227,51.758,0
1540168017.565,242.188,19.043,25.879,34.668,34.180,0
1540168017.569,248.047,21.973,20.996,28.320,-14.160,0
1540168017.573,250.000,26.367,26.855,24.902,30.762,0
1540168017.577,249.023,24.902,31.250,33.691,10.742,0
1540168017.580,238.770,20.020,29.297,34.668,10.742,0
1540168017.584,228.516,21.484,26.855,29.297,34.668,0
1540168017.588,229.492,24.414,29.297,26.367,-6.348,0
1540168017.592,230.957,25.391,31.738,31.250,11.719,0
1540168017.596,232.910,24.414,25.391,34.180,5.371,0
1540168017.600,238.281,22.949,28.809,32.227,-27.832,0
1540168017.604,244.141,22.949,27.344,28.809,10.742,0
1540168017.608,237.305,24.414,22.461,31.250,0.977,0
1540168017.612,233.887,25.879,28.809,35.645,44.434,0
1540168017.616,228.516,24.414,31.738,30.762,48.828,0
1540168017.620,226.562,21.973,30.762,22.949,1.465,0
